id,titulo,empresa,pais,ciudad,salario,descripcion,url,source,fecha_extraccion,match_score,proximidad_score,score_final,categoria_recomendacion
,Vendedora Full time DEMARIE,,,,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/vendedora-full-time-demarie-3726436,Chiletrabajos,2026-02-07 21:02:23,0.0,30,9.0,Otros
,COPEROS,,,,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/coperos-3742560,Chiletrabajos,2026-02-07 21:02:23,0.0,30,9.0,Otros
,GG.SS Seguridad Privada Ley 21659,,,,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/ggss-seguridad-privada-ley-21659-3780313,Chiletrabajos,2026-02-07 21:02:24,0.0,30,9.0,Otros
,Secretaria Administrativa Judicial,,,,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/secretaria-administrativa-judicial-3195483,Chiletrabajos,2026-02-07 21:02:24,0.0,30,9.0,Otros
,Jefe de Oficina Agente Operador,,,,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/jefe-de-oficina-agente-operador-3780314,Chiletrabajos,2026-02-07 21:02:24,0.0,30,9.0,Otros
,Vendedor/ Envasador Sector Vitacura,,,,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/vendedor-envasador-sector-vitacura-3780315,Chiletrabajos,2026-02-07 21:02:24,0.0,30,9.0,Otros
1.0,Oferta 1,N/A,N/A,N/A,No especificado,"EnTalana, plataforma de Recursos Humanos, buscamos que nuestros clientes puedan cumplir su propósito, con nuestra tecnología humana. Ser parte deTalanaes pertenecer a una cultura distintiva, que busca dar lo mejor de sí todos los días. Aquí hacemos que las cosas pasen y cada uno de nosotros vibra por nuestros clientes, trabajando juntos para crear soluciones innovadoras.Hoy buscamos fortalecer nuestro equipo de Desarrollo Backend para diseñar y mantener APIs y servicios robustos que soporten nue",https://cl.linkedin.com/jobs/view/back-end-developer-python-at-talana-4328313160,LinkedIn,2026-02-13 12:33:23,0.0,30,9.0,Otros
2.0,Oferta 2,N/A,N/A,N/A,No especificado,"At INDI, we're passionate about empowering individuals and businesses worldwide. Our cutting-edge recruiters connect leading companies with top talent, fostering a dynamic environment where innovation thrives. Join us in shaping the future of work.Overview of the role:Step into the world of advanced software engineering as our Senior Python Developer, where you'll architect sophisticated solutions for global clients. This isn't just about coding, it's about leading technical initiatives, mentori",https://cl.linkedin.com/jobs/view/senior-python-developer-remote-at-indi-staffing-services-4371034195,LinkedIn,2026-02-13 12:33:24,100.0,30,79.0,Recomendados
3.0,Oferta 3,N/A,N/A,N/A,No especificado,"This opportunity is only for candidates currently residing in the specified country. Your location may affect eligibility and rates. Please submit your resume in English and indicate your level of English proficiency.At Mindrift, innovation meets opportunity. We believe in using the power of collective intelligence to ethically shape the future of AI.What We DoThe Mindrift platform connects specialists with AI projects from major tech innovators. Our mission is to unlock the potential of Generat",https://cl.linkedin.com/jobs/view/freelance-machine-learning-engineer-python-at-mindrift-4371028648,LinkedIn,2026-02-13 12:33:25,100.0,30,79.0,Recomendados
5.0,Oferta 5,N/A,N/A,N/A,No especificado,"NeuralWorks es una compañía de alto crecimiento fundada hace 4 años. Estamos trabajando a toda máquina en cosas que darán que hablar.Somos un equipo donde se unen la creatividad, curiosidad y la pasión por hacer las cosas bien. Nos arriesgamos a explorar fronteras donde otros no llegan: un modelo predictor basado en monte carlo, una red convolucional para detección de caras, un sensor de posición bluetooth, la recreación de un espacio acústico usando finite impulse response.Estos son solo alguno",https://cl.linkedin.com/jobs/view/back-end-software-engineer-data-cloud-at-neuralworks-4369110659,LinkedIn,2026-02-13 12:33:26,0.0,30,9.0,Otros
6.0,Oferta 6,N/A,N/A,N/A,No especificado,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation, and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in 75+ countries an",https://cl.linkedin.com/jobs/view/software-engineer-python-ubuntu-pro-client-graduate-level-at-canonical-4233277100,LinkedIn,2026-02-13 12:33:27,0.0,30,9.0,Otros
7.0,Oferta 7,N/A,N/A,N/A,No especificado,"Company Description: HR ProfileJob Description: Estamos en búsqueda de Backend Developers con experiencia en Python o C++ para un proyecto internacional. La posición es 100% remota, con contrato por prestación de servicios.ResponsabilidadesDesarrollo y optimización de servicios backend.Implementación de soluciones escalables y seguras.Colaboración con equipos de Frontend y QA.RequisitosExperiencia de 2 a 3 años en desarrollo Backend con Python o C++.Inglés avanzado (B2-C1) para interacción con e",https://cl.linkedin.com/jobs/view/backend-developer-python-o-c%2B%2B-%E2%80%93-proyecto-internacional-full-remoto-at-hr-profile-4359758012,LinkedIn,2026-02-13 12:33:28,100.0,30,79.0,Recomendados
8.0,Oferta 8,N/A,N/A,N/A,No especificado,"⚙️ Principales FuncionesDiseñar y construir la lógica del servidor.Gestionar bases de datos (crear, consultar y modificar).Crear y mantener APIs.Asegurar la seguridad, rendimiento y eficiencia del sistema.Integrar servicios externos (pasarelas de pago, correos, etc.).Mantener, revisar y corregir errores en el backend.Condiciones📍 Modalidad: Híbrida🕒 Jornada: Art. 22 – Lunes a viernes, de 08:00 a 17:30 hrs💰 Renta líquida acorde al mercado📅 Duración: Reemplazo por licencia médica pre y post natal.",https://cl.linkedin.com/jobs/view/buscamos-backend-developer-at-grupo-maclean-servicios-integrales-4264276213,LinkedIn,2026-02-13 12:33:28,0.0,30,9.0,Otros
9.0,Oferta 9,N/A,N/A,N/A,No especificado,"En BC Tecnología, somos una consultora de TI enfocada en servicios, que diseña soluciones para clientes de sectores como financiero, seguros, retail y gobierno. El proyecto se centra en el análisis de requerimientos, diseño lógico e implementación de componentes de software para cumplir las necesidades del negocio, con especial atención a la eficiencia, seguridad y calidad. Trabajarás en un entorno ágil bajo Scrum, integrando equipos interdisciplinarios y apoyando la entrega de soluciones escala",https://cl.linkedin.com/jobs/view/desarrollador-full-stack-at-bc-tecnolog%C3%ADa-4369192834,LinkedIn,2026-02-13 12:33:29,0.0,30,9.0,Otros
10.0,Oferta 10,N/A,N/A,N/A,No especificado,"At Stardex, we are building software to help recruiters automate tasks. We are backed by incredible investors, and are excited to shape the future of how recruiting will evolve in age of AI.We are looking for a remote full stack engineer. If you are interested, please apply here or directly email our founder, Sanket, at sanket(at)stardex.ai on why you are interested to join us!🔍Who are you?You have built multiple React apps over the last 2-3 yearsYou have experience with a backend technology suc",https://cl.linkedin.com/jobs/view/full-stack-engineer-at-dots-4249314551,LinkedIn,2026-02-13 12:33:30,0.0,30,9.0,Otros
11.0,Oferta 11,N/A,N/A,N/A,No especificado,No disponible,https://cl.linkedin.com/jobs/view/full-stack-software-developer-engineer-at-talana-4328213365,LinkedIn,2026-02-13 12:33:30,0.0,30,9.0,Otros
12.0,Oferta 12,N/A,N/A,N/A,No especificado,No disponible,https://cl.linkedin.com/jobs/view/full-stack-software-developer-engineer-at-talana-4357671508,LinkedIn,2026-02-13 12:33:31,0.0,30,9.0,Otros
13.0,Oferta 13,N/A,N/A,N/A,No especificado,No disponible,https://cl.linkedin.com/jobs/view/backend-engineer-at-avos-tech-chile-4153173548,LinkedIn,2026-02-13 12:33:31,0.0,30,9.0,Otros
14.0,Oferta 14,N/A,N/A,N/A,No especificado,No disponible,https://cl.linkedin.com/jobs/view/back-end-developer-cl-remote-at-core-code-io-4370678066,LinkedIn,2026-02-13 12:33:31,0.0,30,9.0,Otros
15.0,Oferta 15,N/A,N/A,N/A,No especificado,No disponible,https://cl.linkedin.com/jobs/view/back-end-developer-python-at-anasac-4370778245,LinkedIn,2026-02-13 12:33:32,0.0,30,9.0,Otros
,HS-03 INGENIERO PLANIFICADOR DE PROYECTOS CON…,N/A,N/A,N/A,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/hs-03-ingeniero-planificador-de-proyectos-con-primavera-p6-concepcion-3784519,Chiletrabajos,2026-02-13 12:33:33,0.0,30,9.0,Otros
,Maquilladoras en ruta para retail Region…,N/A,N/A,N/A,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/maquilladoras-en-ruta-para-retail-region-metropolitana-3784490,Chiletrabajos,2026-02-13 12:33:33,0.0,30,9.0,Otros
,Oportunidad Trabajo Vacaciones de Verano: Representante…,N/A,N/A,N/A,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/oportunidad-trabajo-vacaciones-de-verano-representante-de-ventas-santiago-3641304,Chiletrabajos,2026-02-13 12:33:33,0.0,30,9.0,Otros
,Asistente de Compras Internacionales,N/A,N/A,N/A,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/asistente-de-compras-internacionales-3784518,Chiletrabajos,2026-02-13 12:33:33,0.0,30,9.0,Otros
,Práctica Profesional – Soporte TI,N/A,N/A,N/A,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/practica-profesional-soporte-ti-3784541,Chiletrabajos,2026-02-13 12:33:33,0.0,30,9.0,Otros
,Practica Profesional Informático enfocado en IA,N/A,N/A,N/A,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/practica-profesional-informatico-enfocado-en-ia-3738626,Chiletrabajos,2026-02-13 12:33:33,0.0,30,9.0,Otros
,Ayudante Mecánico,N/A,N/A,N/A,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/ayudante-mecanico-3784471,Chiletrabajos,2026-02-13 12:33:34,0.0,30,9.0,Otros
,OPERADOR CAMION PLUMA,N/A,N/A,N/A,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/operador-camion-pluma-3616610,Chiletrabajos,2026-02-13 12:33:34,0.0,30,9.0,Otros
,M1 EXPERIENCIA EN MECÁNICA Y MONTAJE…,N/A,N/A,N/A,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/m1-experiencia-en-mecanica-y-montaje-industrial-5x2-residencia-antofagasta-3751563,Chiletrabajos,2026-02-13 12:33:34,0.0,30,9.0,Otros
,Oportunidad Temporada Vacaciones de Verano: Representante…,N/A,N/A,N/A,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/oportunidad-temporada-vacaciones-de-verano-representante-de-ventas-santiago-3641306,Chiletrabajos,2026-02-13 12:33:34,0.0,30,9.0,Otros
